id_main,name,catno,entity_type,entity_type_name,id,resource_url,thumbnail_url
100030,GB Records,GB 002,1,Label,7386,https://api.discogs.com/labels/7386,https://i.discogs.com/ARhf-qgnPW7NWKvHdNSSmjFlUWC05b_74DohrZESEqQ/rs:fit/g:sm/q:90/h:260/w:499/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTczODYt/MTQ4ODU3ODg1OC0y/MzYxLmpwZWc.jpeg
100036,Triumph Records,TRY 16,1,Label,9837,https://api.discogs.com/labels/9837,https://i.discogs.com/g6SgNAMuwZwncNzDOVCvYHnKE-9KgP0I2kRBUR_dUS0/rs:fit/g:sm/q:90/h:417/w:498/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTk4Mzct/MTI4ODIxOTEzOC5q/cGVn.jpeg
100050,Wizz Records,WIZZ20,1,Label,9821,https://api.discogs.com/labels/9821,https://i.discogs.com/hPpTPmPbYPalZAdpH97UJWHhvrQOJ2MPVxifPJ61Vs0/rs:fit/g:sm/q:90/h:407/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTk4MjEt/MTU3NDA4OTUzMi02/MzMxLmpwZWc.jpeg
10028704,Asylum Records,AS 53 087,1,Label,33574,https://api.discogs.com/labels/33574,https://i.discogs.com/iHqjhQZ0oAqyE6LAgqYamt4KilEYreXoaAy-GWrIWqA/rs:fit/g:sm/q:90/h:600/w:501/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTMzNTc0/LTE1MjExOTE2NDgt/NjYzOS5wbmc.jpeg
10028704,Asylum Records,6E-145,1,Label,33574,https://api.discogs.com/labels/33574,https://i.discogs.com/iHqjhQZ0oAqyE6LAgqYamt4KilEYreXoaAy-GWrIWqA/rs:fit/g:sm/q:90/h:600/w:501/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTMzNTc0/LTE1MjExOTE2NDgt/NjYzOS5wbmc.jpeg
10028974,Annulingus Prod,040882,1,Label,1194057,https://api.discogs.com/labels/1194057,
10039902,Sony Music,SAMPCD 003,1,Label,25487,https://api.discogs.com/labels/25487,https://i.discogs.com/O7quXBkakkeeljzb5ApIswR86acqIHTQ3qzBrCHmqzA/rs:fit/g:sm/q:90/h:571/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTI1NDg3/LTE3MDA5NDA1ODgt/MTYwNS5wbmc.jpeg
10045492,Soul,S6-749S1,1,Label,44480,https://api.discogs.com/labels/44480,https://i.discogs.com/6-rU6RnOey3e0T5cEEpF1o8o8uIkEXaIpzpTiIGqB-I/rs:fit/g:sm/q:90/h:430/w:420/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTQ0NDgw/LTE2NDUzMDc2Mjkt/ODQ1Ni5qcGVn.jpeg
10055810,541,541638CD,1,Label,1900,https://api.discogs.com/labels/1900,https://i.discogs.com/XeOLQRWt7Lycuxu_ppzrRwlqe1USobZuhKZvihZFE6Q/rs:fit/g:sm/q:90/h:72/w:140/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTE5MDAt/MDAxLmdpZg.jpeg
100654,Diaspora Recordings,DIA010,1,Label,353,https://api.discogs.com/labels/353,https://i.discogs.com/w_U27d3km2Lze8D4HDhIDwux-TJ8tZYfgL5TuDebUik/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTM1My0x/Nzc1NDE2NjEzLTQ1/MTIuanBlZw.jpeg
100654,Diaspora Recordings,DIA 010,1,Label,353,https://api.discogs.com/labels/353,https://i.discogs.com/w_U27d3km2Lze8D4HDhIDwux-TJ8tZYfgL5TuDebUik/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTM1My0x/Nzc1NDE2NjEzLTQ1/MTIuanBlZw.jpeg
10066421,Midwest Collective,MWC018,1,Label,806115,https://api.discogs.com/labels/806115,https://i.discogs.com/syr_7POQc0IhcKWml9r8WYnAmcVdBVfkouNJSQlgDCM/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTgwNjEx/NS0xNjYyMTQzNDQ5/LTQ5NDYuanBlZw.jpeg
